retweet_count,reply_count,like_count,quote_count,tweet_id,created_at
8556,60,30041,209,874012996292530176,2017-06-11 21:18:31+00:00
3333,56,21324,102,873580283840344064,2017-06-10 16:39:04+00:00
1327,0,0,0,873337748698140672,2017-06-10 00:35:19+00:00
1327,17,6301,30,873213775632977920,2017-06-09 16:22:42+00:00
4546,68,23992,89,872967104147763200,2017-06-09 00:02:31+00:00
3158,119,13038,141,872820683541237760,2017-06-08 14:20:41+00:00
3058,61,18280,76,872620804844003328,2017-06-08 01:06:27+00:00
7690,190,36008,371,872486979161796608,2017-06-07 16:14:40+00:00
6807,110,30123,262,872122724285648896,2017-06-06 16:07:15+00:00
9213,104,32990,326,871879754684805120,2017-06-06 00:01:46+00:00
2959,57,17828,56,871762521631449088,2017-06-05 16:15:56+00:00
2927,133,17851,153,871515927908634624,2017-06-04 23:56:03+00:00
4880,0,0,0,871166179821445120,2017-06-04 00:46:17+00:00
4660,72,18494,127,871102520638267392,2017-06-03 20:33:19+00:00
3214,51,20106,52,871032628920680448,2017-06-03 15:55:36+00:00
5266,136,29719,129,870804317367881728,2017-06-03 00:48:22+00:00
3,0,105,0,870726314365509632,2017-06-02 19:38:25+00:00
2190,73,10859,99,870656317836468224,2017-06-02 15:00:16+00:00
22672,749,73751,1018,870374049280663552,2017-06-01 20:18:38+00:00
3537,58,19431,109,870308999962521600,2017-06-01 16:00:09+00:00
7053,150,32330,341,870063196459192320,2017-05-31 23:43:25+00:00
8662,209,37913,477,869772420881756160,2017-05-31 04:27:59+00:00
5366,134,24975,286,869702957897576448,2017-05-30 23:51:58+00:00
2629,59,14149,86,869596645499047936,2017-05-30 16:49:31+00:00
3192,64,18093,125,869227993411051520,2017-05-29 16:24:37+00:00
12207,183,57778,414,868880397819494400,2017-05-28 17:23:24+00:00
1744,0,0,0,868639477480148992,2017-05-28 01:26:04+00:00
4447,71,23582,108,868622495443632128,2017-05-28 00:18:35+00:00
1744,31,8941,33,868552278524837888,2017-05-27 19:39:34+00:00
3554,86,21542,63,867900495410671616,2017-05-26 00:29:37+00:00
6229,69,30180,150,867774946302451712,2017-05-25 16:10:44+00:00
2109,54,14307,54,867421006826221568,2017-05-24 16:44:18+00:00
100,0,0,0,867072653475098624,2017-05-23 17:40:04+00:00
6755,132,28619,132,867051520902168576,2017-05-23 16:16:06+00:00
4120,90,17819,69,866720684873056256,2017-05-22 18:21:28+00:00
2954,56,17080,89,866686824827068416,2017-05-22 16:06:55+00:00
30078,481,108566,1521,866450705531457536,2017-05-22 00:28:40+00:00
12163,142,46446,290,866334964761202688,2017-05-21 16:48:45+00:00
7138,0,0,0,866094527597207552,2017-05-21 00:53:21+00:00
4819,118,22865,197,865718153858494464,2017-05-19 23:57:46+00:00
4273,87,23535,197,865359393868664832,2017-05-19 00:12:11+00:00
6637,177,24979,479,865006731092295680,2017-05-18 00:50:50+00:00
7478,105,28769,164,864873206498414592,2017-05-17 16:00:15+00:00
2571,59,13036,126,864279568663928832,2017-05-16 00:41:21+00:00
7559,92,26567,234,864197398364647424,2017-05-15 19:14:50+00:00
3579,97,18387,138,863907417377173504,2017-05-15 00:02:33+00:00
3614,76,13639,199,863553081350529024,2017-05-14 00:34:33+00:00
2087,0,0,0,863471782782697472,2017-05-13 19:11:30+00:00
4545,100,21232,153,863432100342583296,2017-05-13 16:33:49+00:00
80,7,1955,0,863427515083354112,2017-05-13 16:15:35+00:00
949,52,7881,29,863079547188785152,2017-05-12 17:12:53+00:00
2087,49,7503,81,863062471531167744,2017-05-12 16:05:02+00:00
4446,56,17189,103,862831371563274240,2017-05-12 00:46:44+00:00
3077,65,15300,165,862722525377298432,2017-05-11 17:34:13+00:00
4232,131,18228,295,862457590147678208,2017-05-11 00:01:27+00:00
19919,199,66087,641,862096992088072192,2017-05-10 00:08:34+00:00
9234,149,32208,369,861383897657036800,2017-05-08 00:54:59+00:00
3577,82,15319,125,861288531465048064,2017-05-07 18:36:02+00:00
3322,69,14953,189,861005113778896896,2017-05-06 23:49:50+00:00
1850,0,0,0,860981674716409856,2017-05-06 22:16:42+00:00
676,0,0,0,860924035999428608,2017-05-06 18:27:40+00:00
1850,31,6706,56,860563773140209664,2017-05-05 18:36:06+00:00
4587,170,21203,208,860524505164394496,2017-05-05 16:00:04+00:00
3057,49,16539,129,860276583193509888,2017-05-04 23:34:55+00:00
5107,84,14969,126,860184849394610176,2017-05-04 17:30:24+00:00
26632,0,0,0,860177593139703808,2017-05-04 17:01:34+00:00
3573,95,17592,175,859924526012018688,2017-05-04 00:15:58+00:00
3061,58,13950,127,859851578198683648,2017-05-03 19:26:06+00:00
1361,137,16797,21,859607811541651456,2017-05-03 03:17:27+00:00
26186,519,80334,1307,859196978902773760,2017-05-02 00:04:57+00:00
11926,151,30354,428,859074603037188096,2017-05-01 15:58:40+00:00
7057,0,0,0,858860390427611136,2017-05-01 01:47:28+00:00
3019,55,14092,93,858843525470990336,2017-05-01 00:40:27+00:00
4244,93,19433,124,858471635011153920,2017-04-30 00:02:42+00:00
2534,75,14200,104,858107933456039936,2017-04-28 23:57:28+00:00
2261,44,14461,49,857989990357356544,2017-04-28 16:08:49+00:00
9317,159,30732,430,857746408056729600,2017-04-28 00:00:54+00:00
1436,26,5294,58,857393404942143488,2017-04-27 00:38:11+00:00
3962,90,18212,169,857263160327368704,2017-04-26 16:00:39+00:00
16,0,203,0,857214891891077120,2017-04-26 12:48:51+00:00
146,0,0,0,857062103051644928,2017-04-26 02:41:43+00:00
3473,60,17008,103,857029823797047296,2017-04-26 00:33:27+00:00
2535,49,14800,55,856543823941562368,2017-04-24 16:22:16+00:00
1651,33,10799,31,856526610513747968,2017-04-24 15:13:52+00:00
15,4,488,1,856288084350160896,2017-04-23 23:26:03+00:00
5565,129,25176,244,856282028240666624,2017-04-23 23:01:59+00:00
21,1,303,0,855862651834028032,2017-04-22 19:15:32+00:00
849,13,4397,15,855860136149123072,2017-04-22 19:05:32+00:00
1854,8,10837,20,855857698524602368,2017-04-22 18:55:51+00:00
16084,140,41826,464,855851453814013952,2017-04-22 18:31:02+00:00
4800,108,24232,102,855818117272018944,2017-04-22 16:18:34+00:00
7287,91,27031,189,855459453768019968,2017-04-21 16:33:22+00:00
5251,0,0,0,855245323840757760,2017-04-21 02:22:29+00:00
36,0,0,0,855138241867124736,2017-04-20 19:16:59+00:00
5332,86,20637,194,854732716440526848,2017-04-19 16:25:34+00:00
6001,131,26513,344,854482394044301312,2017-04-18 23:50:52+00:00
4135,67,17159,164,854365224396361728,2017-04-18 16:05:17+00:00
6574,584,29168,1684,854120357044912128,2017-04-17 23:52:16+00:00
2786,42,14810,65,854010172552949760,2017-04-17 16:34:26+00:00
5106,108,26021,237,853760880890318848,2017-04-17 00:03:50+00:00
8844,93,31471,155,853639147608842240,2017-04-16 16:00:07+00:00
3162,64,14137,122,853299958564483072,2017-04-15 17:32:18+00:00
1783,0,0,0,852936405516943360,2017-04-14 17:27:40+00:00
1595,21,8231,47,852912242202992640,2017-04-14 15:51:39+00:00
1905,33,13617,32,852672615818899456,2017-04-13 23:59:28+00:00
3102,37,14868,62,852553447878664192,2017-04-13 16:05:56+00:00
8848,166,30288,524,852311364735569920,2017-04-13 00:03:59+00:00
6075,244,18313,728,852226086759018496,2017-04-12 18:25:07+00:00
1417,29,10559,21,852189679701164032,2017-04-12 16:00:27+00:00
3122,66,14928,99,851591660324737024,2017-04-11 00:24:08+00:00
6294,205,22227,693,851464819735769088,2017-04-10 16:00:07+00:00
5161,95,18997,240,851224888060895232,2017-04-10 00:06:42+00:00
8058,161,28086,428,850753642995093504,2017-04-08 16:54:09+00:00
2325,55,12055,139,850380195714523136,2017-04-07 16:10:12+00:00
301,8,3187,3,850333567704068096,2017-04-07 13:04:55+00:00
3387,98,15021,153,850145622816686080,2017-04-07 00:38:06+00:00
4357,73,18746,104,850019790995546112,2017-04-06 16:18:05+00:00
6800,153,27869,228,849776966551130112,2017-04-06 00:13:11+00:00
4435,0,0,0,849668094696017920,2017-04-05 17:00:34+00:00
2822,60,14651,99,849412302885593088,2017-04-05 00:04:08+00:00
1684,33,10542,24,849336543269576704,2017-04-04 19:03:06+00:00
7604,170,38932,346,849051919805034496,2017-04-04 00:12:06+00:00
3914,110,23230,71,848690551926992896,2017-04-03 00:16:10+00:00
4143,73,22789,149,848324959059550208,2017-04-02 00:03:26+00:00
644,40,7534,9,848213670039564288,2017-04-01 16:41:12+00:00
2712,111,15013,121,848212111729840128,2017-04-01 16:35:01+00:00
2914,0,0,0,847978865427394560,2017-04-01 01:08:10+00:00
394,0,0,0,847971574464610304,2017-04-01 00:39:12+00:00
4563,116,21699,126,847962785489326080,2017-04-01 00:04:17+00:00
1186,32,5004,51,847842811428974592,2017-03-31 16:07:33+00:00
376,17,6460,8,847617282490613760,2017-03-31 01:11:22+00:00
3075,61,17328,85,847606175596138496,2017-03-31 00:27:14+00:00
3909,43,18935,75,847251039262605312,2017-03-30 00:56:03+00:00
5244,157,18341,384,847157206088847360,2017-03-29 18:43:12+00:00
2871,75,19844,70,847116187444137984,2017-03-29 16:00:12+00:00
3543,61,18588,116,846874817362120704,2017-03-29 00:01:05+00:00
10354,243,41097,752,846514051647705088,2017-03-28 00:07:32+00:00
2756,63,13045,26,846505985330044928,2017-03-27 23:35:28+00:00
8149,148,29042,406,846153765933735936,2017-03-27 00:15:53+00:00
9148,94,28756,197,846139713627017216,2017-03-26 23:20:02+00:00
